time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2022-10-07 21:09:07.363 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,241473396736,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1665176946501, , , , ,3145728,1218, , , ,13,4,27,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,25137152, , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-07 21:09:35.323 UTC, ,125,3160893,1080,15040, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1361,241473368064,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1361, ,1665176946501, , , , ,3145728,1334, , , ,12,1,17,1,2,1, , ,3,2, , , , , , , , , , , ,4096,2,95,1, , , , , , , , ,25137152, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-14 17:09:07.941 UTC, ,125,3158997,952,13144, , ,3,1,19,3,0.16, , , , , , , ,3,3, ,2,1,2,1,5, ,18,9, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,241468375040,41,41, , , , , ,1,33, , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1665767347142, , , , ,3145728,2098, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,102879,29, , , , , , , , , , ,26185728,1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-14 17:09:09.726 UTC, ,125,3160141,1080,14288, , ,3, ,2, , , , , , , , , ,3,3, , , ,2,1,5, ,2,2, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,241468375040,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1665767347142, , , , ,3145728,2098, , ,2,0, , , ,1, , , ,3, , , , ,2,1, , , , , , ,2116,3, , , , , , , , , , ,26185728,1, , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-14 17:09:58.870 UTC, ,125,3158997,952,13144, , ,3,1,19,3,0.16, , , , , , , ,3,3, ,2,1,2,1,5, ,18,9, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,241468354560,41,41, , , , , ,1,33, , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1665767398513, , , , ,3145728,2098, , ,18,0, , , ,2, , , ,3, , , , ,18, ,2048,1, , , , ,102879,29, , , , , , , , , , ,26185728,2, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-14 17:10:24.775 UTC, ,125,3164877,1312,19024, , ,4, ,5, , , , , , , , , ,4,4, , , ,2,1,5, ,2,2, , , , , , , , , , , , , ,2098,2, ,1414, , , , ,2143,241468354560,41,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2143, ,1665767398513, , , , ,3145728,2455, , ,2,8,2,16,2,3,2, , ,3,3, , , ,2,1, , , , , , ,6212,5,339,2, , , , , , , , ,27234304,1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , 
2022-10-14 17:10:29.095 UTC, ,125,3160301,1184,14448, , ,3, ,24,3,0.13, , , , , , , ,3,3, ,2, ,2,1,5, ,24,11, , , , , , , , , , , , , ,3480,3, ,2535, , , , ,3525,241468354560,34,34, , , , , ,1,51, , , , , , , , , , , , , , , , , , , , , , , , , ,3525, ,1665767428793, , , , ,3145728,3480, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,100979,30, , , , , , , , , , ,26185728,1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-14 17:11:29.102 UTC, ,125,3163549,1184,17584,112, ,4, ,4,1,0.25, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,3480,3, ,2535, , , , ,3525,241468354560,34,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3525, ,1665767428793, , , , ,3145728,3480, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6183,4, , , , , , , , , , ,27234304, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , 
2022-10-14 17:12:29.108 UTC, ,125,3165269,1312,19192,224, ,4, ,3, , , , , , , , , ,4,4, , , ,2,1,5, ,3,3, , , , , , , , , , , , , ,3480,3, ,2535, , , , ,3525,241468350464,34,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3525, ,1665767428793, , , , ,3145728,3480, , ,3,0, , , , , , , ,3, , , , ,3,1, , , , , , ,132,3, , , , , , , , , , ,27234304, , , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2022-10-14 17:13:29.115 UTC, ,125,3165269,1312,19192,224, ,4, , , , , , , , , , , ,4,4, , , ,2,1,5, , , , , , , , , , , , , , , , ,3480,3, ,2535, , , , ,3525,241468334080,34,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3525, ,1665767428793, , , , ,3145728,3480, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,27234304, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
